,capacity_policy,minfood_access_policy,maxfood_access_policy,day_access_policy,rerouting_policy,alpha,beta,gamma,epsilon
0,0,0,0,0,0,0.5,0.5,3.0,0.5
1,0,0,0,0,1,0.5,0.5,3.0,0.5
2,0,0,0,0,2,0.5,0.5,3.0,0.5
3,0,0,0,0,3,0.5,0.5,3.0,0.5
4,0,0,0,1,0,0.5,0.5,3.0,0.5
5,0,0,0,1,1,0.5,0.5,3.0,0.5
6,0,0,0,1,2,0.5,0.5,3.0,0.5
7,0,0,0,1,3,0.5,0.5,3.0,0.5
8,0,0,1,0,0,0.5,0.5,3.0,0.5
9,0,0,1,0,1,0.5,0.5,3.0,0.5
10,0,0,1,0,2,0.5,0.5,3.0,0.5
11,0,0,1,0,3,0.5,0.5,3.0,0.5
12,0,0,1,1,0,0.5,0.5,3.0,0.5
13,0,0,1,1,1,0.5,0.5,3.0,0.5
14,0,0,1,1,2,0.5,0.5,3.0,0.5
15,0,0,1,1,3,0.5,0.5,3.0,0.5
16,0,0,2,0,0,0.5,0.5,3.0,0.5
17,0,0,2,0,1,0.5,0.5,3.0,0.5
18,0,0,2,0,2,0.5,0.5,3.0,0.5
19,0,0,2,0,3,0.5,0.5,3.0,0.5
20,0,0,2,1,0,0.5,0.5,3.0,0.5
21,0,0,2,1,1,0.5,0.5,3.0,0.5
22,0,0,2,1,2,0.5,0.5,3.0,0.5
23,0,0,2,1,3,0.5,0.5,3.0,0.5
24,0,1,0,0,0,0.5,0.5,3.0,0.5
25,0,1,0,0,1,0.5,0.5,3.0,0.5
26,0,1,0,0,2,0.5,0.5,3.0,0.5
27,0,1,0,0,3,0.5,0.5,3.0,0.5
28,0,1,0,1,0,0.5,0.5,3.0,0.5
29,0,1,0,1,1,0.5,0.5,3.0,0.5
30,0,1,0,1,2,0.5,0.5,3.0,0.5
31,0,1,0,1,3,0.5,0.5,3.0,0.5
32,0,1,1,0,0,0.5,0.5,3.0,0.5
33,0,1,1,0,1,0.5,0.5,3.0,0.5
34,0,1,1,0,2,0.5,0.5,3.0,0.5
35,0,1,1,0,3,0.5,0.5,3.0,0.5
36,0,1,1,1,0,0.5,0.5,3.0,0.5
37,0,1,1,1,1,0.5,0.5,3.0,0.5
38,0,1,1,1,2,0.5,0.5,3.0,0.5
39,0,1,1,1,3,0.5,0.5,3.0,0.5
40,0,1,2,0,0,0.5,0.5,3.0,0.5
41,0,1,2,0,1,0.5,0.5,3.0,0.5
42,0,1,2,0,2,0.5,0.5,3.0,0.5
43,0,1,2,0,3,0.5,0.5,3.0,0.5
44,0,1,2,1,0,0.5,0.5,3.0,0.5
45,0,1,2,1,1,0.5,0.5,3.0,0.5
46,0,1,2,1,2,0.5,0.5,3.0,0.5
47,0,1,2,1,3,0.5,0.5,3.0,0.5
48,1,0,0,0,0,0.5,0.5,3.0,0.5
49,1,0,0,0,1,0.5,0.5,3.0,0.5
50,1,0,0,0,2,0.5,0.5,3.0,0.5
51,1,0,0,0,3,0.5,0.5,3.0,0.5
52,1,0,0,1,0,0.5,0.5,3.0,0.5
53,1,0,0,1,1,0.5,0.5,3.0,0.5
54,1,0,0,1,2,0.5,0.5,3.0,0.5
55,1,0,0,1,3,0.5,0.5,3.0,0.5
56,1,0,1,0,0,0.5,0.5,3.0,0.5
57,1,0,1,0,1,0.5,0.5,3.0,0.5
58,1,0,1,0,2,0.5,0.5,3.0,0.5
59,1,0,1,0,3,0.5,0.5,3.0,0.5
60,1,0,1,1,0,0.5,0.5,3.0,0.5
61,1,0,1,1,1,0.5,0.5,3.0,0.5
62,1,0,1,1,2,0.5,0.5,3.0,0.5
63,1,0,1,1,3,0.5,0.5,3.0,0.5
64,1,0,2,0,0,0.5,0.5,3.0,0.5
65,1,0,2,0,1,0.5,0.5,3.0,0.5
66,1,0,2,0,2,0.5,0.5,3.0,0.5
67,1,0,2,0,3,0.5,0.5,3.0,0.5
68,1,0,2,1,0,0.5,0.5,3.0,0.5
69,1,0,2,1,1,0.5,0.5,3.0,0.5
70,1,0,2,1,2,0.5,0.5,3.0,0.5
71,1,0,2,1,3,0.5,0.5,3.0,0.5
72,1,1,0,0,0,0.5,0.5,3.0,0.5
73,1,1,0,0,1,0.5,0.5,3.0,0.5
74,1,1,0,0,2,0.5,0.5,3.0,0.5
75,1,1,0,0,3,0.5,0.5,3.0,0.5
76,1,1,0,1,0,0.5,0.5,3.0,0.5
77,1,1,0,1,1,0.5,0.5,3.0,0.5
78,1,1,0,1,2,0.5,0.5,3.0,0.5
79,1,1,0,1,3,0.5,0.5,3.0,0.5
80,1,1,1,0,0,0.5,0.5,3.0,0.5
81,1,1,1,0,1,0.5,0.5,3.0,0.5
82,1,1,1,0,2,0.5,0.5,3.0,0.5
83,1,1,1,0,3,0.5,0.5,3.0,0.5
84,1,1,1,1,0,0.5,0.5,3.0,0.5
85,1,1,1,1,1,0.5,0.5,3.0,0.5
86,1,1,1,1,2,0.5,0.5,3.0,0.5
87,1,1,1,1,3,0.5,0.5,3.0,0.5
88,1,1,2,0,0,0.5,0.5,3.0,0.5
89,1,1,2,0,1,0.5,0.5,3.0,0.5
90,1,1,2,0,2,0.5,0.5,3.0,0.5
91,1,1,2,0,3,0.5,0.5,3.0,0.5
92,1,1,2,1,0,0.5,0.5,3.0,0.5
93,1,1,2,1,1,0.5,0.5,3.0,0.5
94,1,1,2,1,2,0.5,0.5,3.0,0.5
95,1,1,2,1,3,0.5,0.5,3.0,0.5
